"Product ID","Product Name","Variant","Current Stock","Low Stock Threshold","Last Alert Sent"
"101","Wireless Earbuds Pro","Black","15","10","2025-08-20 10:00 AM"
"102","Wireless Earbuds Pro","White","8","10",""
"103","Smart Fitness Watch","Medium Strap","20","5","2025-08-21 9:00 AM"
"104","Smart Fitness Watch","Large Strap","4","5",""
"105","Portable Bluetooth Speaker","Blue","12","7",""
"106","Portable Bluetooth Speaker","Red","6","7",""
"107","USB-C Fast Charger","20W","25","15",""
"108","USB-C Fast Charger","30W","14","15",""
"109","Noise Cancelling Headphones","Over-ear","9","8",""
"110","Noise Cancelling Headphones","On-ear","5","8",""
